Team,Match,Division,Rank
Kentucky,1,Midwest,1
Hampton/Manhattan,1,Midwest,16
Cincinnati,2,Midwest,8
Purdue,2,Midwest,9
West Virginia,3,Midwest,5
Buffalo,3,Midwest,12
Maryland,4,Midwest,4
Valparaiso,4,Midwest,13
Butler,5,Midwest,6
Texas,5,Midwest,11
Notre Dame,6,Midwest,3
Northeastern,6,Midwest,14
Wichita  State,7,Midwest,7
Indiana,7,Midwest,10
Kansas,8,Midwest,2
New Mexico State,8,Midwest,15
Wisconsin,1,West,1
Coastal Caro,1,West,16
Oregon,2,West,8
Oklahoma St,2,West,9
Arkansas,3,West,5
Wofford,3,West,12
North Carolina,4,West,4
Harvard,4,West,13
Xavier,5,West,6
BYU/Ole Miss,5,West,11
Baylor,6,West,3
Georgia State,6,West,14
VCU,7,West,7
Ohio State,7,West,10
Arizona,8,West,2
Texas Southern,8,West,15
Villanova,1,East,1
Lafayette,1,East,16
NC State,2,East,8
LSU,2,East,9
UNI,3,East,5
Wyoming,3,East,12
Louisville,4,East,4
UC Irvine,4,East,13
Providence,5,East,6
Boise State/Dayton,5,East,11
Oklahoma,6,East,3
Albany,6,East,14
Michigan State,7,East,7
Georgia,7,East,10
Virginia,8,East,2
Belmont,8,East,15
Duke,1,South,1
N Florida/Robert Morris,1,South,16
San Diego State,2,South,8
St John's,2,South,9
Utah,3,South,5
SF Austin,3,South,12
Georgetown,4,South,4
Eastern Wash,4,South,13
SMU,5,South,6
UCLA,5,South,11
Iowa State,6,South,3
UAB,6,South,14
Iowa,7,South,7
Davidson,7,South,10
Gonzaga,8,South,2
N Dakota State,8,South,15
