Team,Match,Division,Rank,FirstMatchOdds,PowerRating
UNC,1,South,1,98,91.7
TXSO,1,South,16,2,71
Arkansas,2,South,8,51,83.2
Seton Hall,2,South,9,49,83
Minnesota,3,South,5,52,81.2
Mid. Tenn.,3,South,12,48,81.3
Butler,4,South,4,89,86.5
Winthrop,4,South,13,11,75.5
Cincinnati,5,South,6,61,87.4
Kansas State,5,South,11,39,84.1
UCLA,6,South,3,94,88
Kent St.,6,South,14,6,74.3
Dayton,7,South,7,31,82.8
Wichita St.,7,South,10,69,88.9
Kentucky,8,South,2,97,92.3
N. Kentucky,8,South,15,3,72.8
Gonzaga,1,West,1,98,93.7
S. Dakota St.,1,West,16,2,72.8
Northwestern,2,West,8,45,82.6
Vanderbilt,2,West,9,55,83.8
Notre Dame,3,West,5,75,86.7
Princeton,3,West,12,25,80
W. Virginia,4,West,4,90,90.8
Bucknell,4,West,13,10,77.9
Maryland,5,West,6,51,82.5
Xavier,5,West,11,49,82.3
Florida State,6,West,3,88,87.2
FGCU,6,West,14,12,75.8
St. Marys,7,West,7,74,87.4
VCU,7,West,10,26,82.9
Arizona,8,West,2,95,89
N. Dakota,8,West,15,5,72.3
Villanova,1,East,1,99,95.2
M.St.Marys,1,East,16,1,70.2
Wisconsin,2,East,8,79,87.8
Virginia Tech,2,East,9,21,80
Virginia,3,East,5,84,90
UNC-Wilm.,3,East,12,16,80.2
Florida,4,East,4,87,87.8
E. Tenn. St.,4,East,13,13,78.1
SMU,5,East,6,79,88.4
PROV/USC,5,East,11,21,81.5
Baylor,6,East,3,90,87.7
NM State,6,East,14,10,75.6
S. Carolina,7,East,7,57,83.1
Marquette,7,East,10,43,83
Duke,8,East,2,97,92.3
Troy,8,East,15,3,73.3
Kansas,1,Midwest,1,98,92.2
NCCU/UCD,1,Midwest,16,2,70.4
Miami (FL),2,Midwest,8,55,84.6
Michigan St.,2,Midwest,9,45,82.8
Iowa State,3,Midwest,5,83,87.9
Nevada,3,Midwest,12,17,80.7
Purdue,4,Midwest,4,86,88.6
Vermont,4,Midwest,13,14,79.5
Creighton,5,Midwest,6,56,84.4
Rhode Island,5,Midwest,11,44,84
Oregon,6,Midwest,3,92,87.3
Iona,6,Midwest,14,8,75.5
Michigan,7,Midwest,7,63,86.9
Okla. State,7,Midwest,10,37,84.7
Louisville,8,Midwest,2,97,90.8
Jax. State,8,Midwest,15,3,71.2
